timestamp,load_type_light_OneHotEnc,load_type_maximum_OneHotEnc,load_type_medium_OneHotEnc,month_scaled,week_scaled,day_scaled,day_of_week_scaled,lagging_current_reactive_power_kvarh_scaled,leading_current_reactive_power_kvarh_scaled,co2_tco2_scaled,lagging_current_power_factor_scaled,leading_current_power_factor_scaled,nsm_scaled,usage_kwh_scaled
2018-01-01 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09120459073274426,0.0,0.0,0.4097975967336498,1.0,0.0,0.009113536611054025
2018-01-01 06:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04563089212349987,0.3168228394229473,0.0,0.7027374569547971,0.5702965927441599,0.33333333333333337,0.0105837392152901
2018-01-01 12:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7454159363624107,0.0,1.0,0.05848604298939811,0.6666666666666667,0.012574101220440115
2018-01-01 18:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02199090623123338,0.5370601321288931,0.0,0.8621827005506884,0.30465200252760805,1.0,0.011069507912011368
2018-01-02 00:00:00,1.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.5,0.3565253033639319,0.0,0.2293577981651365,0.6018409543321275,1.0,0.0,0.2415044213549077
2018-01-02 06:00:00,1.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.5,0.7584050635324621,6.741270055278145e-05,0.6605504587155973,0.726544905046278,1.0,0.33333333333333337,0.67867905305196
2018-01-02 12:00:00,0.0,0.0,1.0,0.0,0.0,0.03333333333333333,0.5,0.7929022848808945,0.1675205608736686,0.7522935779816511,0.8687066823590948,0.8984593626816719,0.6666666666666667,0.7760262401072989
2018-01-02 18:00:00,0.0,1.0,0.0,0.0,0.0,0.03333333333333333,0.5,0.7720075876728912,0.014240932991775649,0.8532110091743131,0.8623134707873821,0.999814441468821,1.0,0.8244655469626558
2018-01-03 00:00:00,1.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.5,0.11327175498298493,0.0,0.0,0.3455240253984859,1.0,0.0,0.013670304916581048
2018-01-03 06:00:00,1.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.5,0.2716596604611704,0.027605500876365107,0.3027522935779821,0.6631576653153741,0.9990421167714822,0.33333333333333337,0.3048349031256852
2018-01-03 12:00:00,0.0,1.0,0.0,0.0,0.0,0.06666666666666668,0.5,0.08044267780033744,0.3277774032627747,0.3211009174311924,0.9815613966261278,0.8632182870440026,0.6666666666666667,0.27394775192265536
2018-01-03 18:00:00,0.0,0.0,1.0,0.0,0.0,0.06666666666666668,0.5,0.01732963481941148,0.6686834299582041,0.0,0.9040146462665097,0.30972226401468417,1.0,0.0194436443829233
2018-01-04 00:00:00,1.0,0.0,0.0,0.0,0.0,0.1,0.9999999999999999,0.09207202569895241,0.0,0.0,0.2724161980733184,1.0,0.0,0.00276415284948478
2018-01-04 06:00:00,1.0,0.0,0.0,0.0,0.0,0.1,0.9999999999999999,0.0416082816208642,0.3034245651880814,0.0,0.6538584484837915,0.5487768182228507,0.33333333333333337,0.003138151757579928
