timestamp,month,day,day_of_week,load_type_light_OneHotEnc,load_type_maximum_OneHotEnc,load_type_medium_OneHotEnc,lagging_current_reactive_power_kvarh_log,leading_current_reactive_power_kvarh_log,lagging_current_power_factor_log,leading_current_power_factor_log,nsm_log,usage_kwh_log
2018-01-01 00:00:00,1,1,1,1.0,0.0,0.0,1.505261880183934,2.0678749053083707,4.426909373201815,4.184503872784199,10.498746232276948,2.0963908373885327
2018-01-02 06:00:00,1,2,4,1.0,0.0,0.0,3.164468916281091,0.0349648750358571,4.411671396004009,4.587960444256899,10.611277009832945,3.033069288874022
2018-01-03 12:00:00,1,3,7,1.0,0.0,0.0,0.7047875017166204,2.2941328061790616,4.458655830632032,4.136259292822092,10.712415766081785,3.056561075528347
2018-01-06 00:00:00,1,6,5,1.0,0.0,0.0,2.308061735439567,1.325393659530275,4.283139335433016,4.466448202668011,10.498746232276948,2.5075411685337485
2018-01-08 12:00:00,1,8,6,1.0,0.0,0.0,1.4402102551513036,1.792162165912638,4.406107271427348,4.269865267785551,10.712415766081785,2.6657160433266966
2018-01-09 18:00:00,1,9,1,1.0,0.0,0.0,2.429959025644726,1.0762246564571405,4.314357663230118,4.449567480259053,10.804258472752249,2.7108011474152476
2018-01-11 00:00:00,1,11,4,0.0,0.0,1.0,2.623714030433848,1.050063761968659,4.364924981460932,4.478359965123452,10.498746232276948,3.083313994684752
2018-01-12 06:00:00,1,12,6,1.0,0.0,0.0,1.7602831352526322,1.8874483651891505,4.493330391732507,4.342878585547172,10.611277009832945,3.0441953386894807
2018-01-13 12:00:00,1,13,7,1.0,0.0,0.0,1.827997640731992,2.194052886170584,4.491335906223081,4.31167681616489,10.712415766081785,2.9617667559482586
2018-01-14 18:00:00,1,14,1,1.0,0.0,0.0,2.850364439153513,1.7112571652155586,4.450546477633811,4.421881161348008,10.804258472752249,3.283714496522409
2018-01-16 00:00:00,1,16,2,0.0,0.0,1.0,2.940470589196629,0.6345023684595882,4.367394057108724,4.553668097874823,10.498746232276948,3.544957179344258
2018-01-17 06:00:00,1,17,3,1.0,0.0,0.0,3.2130153524638287,0.1487073201611922,4.472357582591734,4.5847055396056255,10.611277009832945,3.746568062300425
2018-01-18 12:00:00,1,18,5,1.0,0.0,0.0,3.560285850519038,0.5731429298308521,4.511112221834392,4.562539264679193,10.712415766081785,4.168076126189776
2018-01-19 18:00:00,1,19,6,1.0,0.0,0.0,3.079253539407228,0.6188725278491243,4.52924261064218,4.577329540203362,10.804258472752249,4.2282561207888225
2018-01-21 00:00:00,1,21,7,0.0,0.0,1.0,1.947159368455745,2.335673258405235,4.457761036449786,4.181497827293288,10.498746232276948,3.2260497368329206
2018-01-22 06:00:00,1,22,1,1.0,0.0,0.0,3.3181418065248294,0.0874765465592656,4.458521710783685,4.583110313028675,10.611277009832945,3.1692849113043327
