timestamp,month,week,day,day_of_week,load_type,lagging_current_reactive_power_kvarh,leading_current_reactive_power_kvarh,co2_tco2,lagging_current_power_factor,leading_current_power_factor,nsm,usage_kwh
2018-01-01 00:00:00,1,1,1,Monday,Light_Load,3.986666666666667,0.0,0.0,66.15041666666666,100.0,10350.0,3.498333333333333
2018-01-01 06:00:00,1,1,1,Monday,Light_Load,1.9945833333333336,7.832916666666667,0.0,82.95125,64.29916666666666,31950.0,3.640833333333333
2018-01-01 12:00:00,1,1,1,Monday,Light_Load,0.0,18.429166666666667,0.0,100.0,21.776666666666667,53550.0,3.83375
2018-01-01 18:00:00,1,1,1,Monday,Light_Load,0.96125,13.277916666666668,0.0,92.09583333333336,42.22875,75150.0,3.6879166666666663
2018-01-02 00:00:00,1,1,2,Thursday,Light_Load,15.584166666666668,0.0,0.0104166666666666,77.16458333333334,100.0,10350.0,26.022916666666664
2018-01-02 06:00:00,1,1,2,Thursday,Light_Load,33.15083333333333,0.0016666666666666,0.03,84.31666666666666,100.0,31950.0,68.39625
2018-01-02 12:00:00,1,1,2,Thursday,Medium_Load,34.65875,4.141666666666667,0.0341666666666666,92.46999999999998,91.56375,53550.0,77.83166666666666
2018-01-02 18:00:00,1,1,2,Thursday,Maximum_Load,33.745416666666664,0.3520833333333333,0.03875,92.10333333333334,99.98458333333332,75150.0,82.52666666666666
2018-01-03 00:00:00,1,1,3,Thursday,Light_Load,4.95125,0.0,0.0,62.46416666666667,100.0,10350.0,3.94
2018-01-03 06:00:00,1,1,3,Thursday,Light_Load,11.874583333333334,0.6825,0.01375,80.68124999999999,99.92041666666668,31950.0,32.16125
2018-01-03 12:00:00,1,1,3,Thursday,Maximum_Load,3.51625,8.10375,0.0145833333333333,98.9425,88.63583333333334,53550.0,29.1675
2018-01-03 18:00:00,1,1,3,Thursday,Medium_Load,0.7575,16.532083333333333,0.0,94.495,42.65,75150.0,4.499583333333334
2018-01-04 00:00:00,1,1,4,Sunday,Light_Load,4.024583333333333,0.0,0.0,58.27125,100.0,10350.0,2.8829166666666666
